year,statement,account_en,amount
2023,IS,대손상각비,22199005.0
2023,IS,건물관리비,28334035.0
2023,IS,판매대행수수료,9972884196.0
2023,IS,무형자산상각비,646976896.0
2023,IS,용역수수료,16607042.0
2023,IS,리스료,34034808.0
2023,IS,해외출장비,16023828.0
2023,IS,Operating profit (loss),6148944243.0
2023,IS,Ⅵ. 영업외수익,208137891.0
2023,IS,이자수익,3313843.0
2023,IS,외환차익,12226984.0
2023,IS,국고보조금수익,146688320.0
2023,IS,잡이익,45908744.0
2023,IS,Ⅶ. 영업외비용,378064914.0
2023,IS,이자비용,99648385.0
2023,IS,외환차손,6448669.0
2023,IS,기부금,3000000.0
2023,IS,Inventories,108086321.0
2023,IS,유형자산처분손실,159250065.0
2023,IS,잡손실,1631474.0
2023,IS,Ⅷ. 법인세차감전순이익,5979017220.0
2023,IS,IX. 법인세 등,408638873.0
2023,IS,X. 당기순이익,5570378347.0
2024,BS,Current assets,23409776133.0
2024,BS,당좌자산,12946741648.0
2024,BS,Cash and cash equivalents,3830902089.0
2024,BS,매출채권,5943447748.0
2024,BS,대손충당금,-92483918.0
2024,BS,미수금,1708198.0
2024,BS,선급금,2354277030.0
2024,BS,선급비용,501783014.0
2024,BS,부가세대급금,407107487.0
2024,BS,Inventories,10463034485.0
2024,BS,제품,7354309036.0
2024,BS,원재료,3353300376.0
2024,BS,Inventories,-244574927.0
2024,BS,Current assets,28635318070.0
2024,BS,투자자산,140000000.0
2024,BS,장기금융상품,140000000.0
2024,BS,유형자산,25149843933.0
2024,BS,토지,14827970144.0
2024,BS,건물,9806632174.0
2024,BS,감가상각누계액,-77278809.0
2024,BS,기계장치,67838300.0
2024,BS,감가상각누계액,-48073124.0
2024,BS,차량운반구,79975974.0
2024,BS,감가상각누계액,-12351594.0
2024,BS,비품,9266810.0
2024,BS,감가상각누계액,-6317567.0
2024,BS,국고보조금,-310951.0
2024,BS,금형,193927949.0
2024,BS,감가상각누계액,-40231578.0
2024,BS,시설장치,723312066.0
2024,BS,감가상각누계액,-292477522.0
2024,BS,국고보조금,-82038339.0
2024,BS,무형자산,2682835637.0
2024,BS,영업권,440000000.0
2024,BS,특허권,1019663109.0
2024,BS,상표권,1068302967.0
2024,BS,실용신안권,2500000.0
2024,BS,개발비,66011225.0
2024,BS,소프트웨어,86358336.0
2024,BS,Current assets,662638500.0
2024,BS,임차보증금,615971500.0
2024,BS,기타보증금,46667000.0
2024,BS,자 산 총 계,52045094203.0
2024,BS,Current liabilities,20158991662.0
2024,BS,매입채무,926674442.0
2024,BS,Short-term borrowings,15430000000.0
2024,BS,Total liabilities,1019656206.0
2024,BS,미지급금,2062451465.0
2024,BS,미지급비용,628503114.0
2024,BS,예수금,44790170.0
2024,BS,선수금,8228800.0
2024,BS,Total liabilities,38687465.0
2024,BS,Current liabilities,22924804358.0
2024,BS,장기차입금,22185506423.0
2024,BS,Total liabilities,739197935.0
2024,BS,임대보증금,100000.0
2024,BS,Total liabilities,43083796020.0
2024,BS,I. 자본금,300000000.0
2024,BS,보통주자본금,300000000.0
2024,BS,III. 이익잉여금,8661298183.0
2024,BS,미처분이익잉여금,8661298183.0
2024,BS,Total equity,8961298183.0
2024,BS,Total liabilities,52045094203.0
2023,BS,Current assets,12809999762.0
2023,BS,당좌자산,9847713155.0
2023,BS,Cash and cash equivalents,4967468847.0
2023,BS,단기금융상품,20000000.0
2023,BS,매출채권,3816916360.0
2023,BS,대손충당금,-38169164.0
2023,BS,미수금,507313499.0
2023,BS,선급금,397015924.0
2023,BS,선급비용,170369522.0
2023,BS,부가세대급금,6798167.0
2023,BS,Inventories,2962286607.0
2023,BS,제품,721842283.0
2023,BS,원재료,2240444324.0
2023,BS,Current assets,27169224934.0
2023,BS,유형자산,23626628585.0
2023,BS,토지,14827970144.0
2023,BS,건물,8740282174.0
2023,BS,감가상각누계액,-36417842.0
2023,BS,기계장치,57238300.0
2023,BS,감가상각누계액,-31836171.0
2023,BS,차량운반구,31389092.0
2023,BS,감가상각누계액,-4185212.0
2023,BS,비품,7946810.0
2023,BS,감가상각누계액,-4618522.0
2023,BS,국고보조금,-566395.0
2023,BS,금형,2677949.0
2023,BS,감가상각누계액,-1870810.0
2023,BS,시설장치,235312066.0
2023,BS,감가상각누계액,-47260688.0
2023,BS,국고보조금,-149432310.0
2023,BS,무형자산,2924701209.0
2023,BS,영업권,660000000.0
2023,BS,특허권,1193946073.0
2023,BS,상표권,958046800.0
2023,BS,실용신안권,3750000.0
2023,BS,소프트웨어,108958336.0
2023,BS,Current assets,617895140.0
2023,BS,임차보증금,577317140.0
2023,BS,기타보증금,40578000.0
2023,BS,자 산 총 계,39979224696.0
2023,BS,Current liabilities,12892439607.0
2023,BS,매입채무,2566894638.0
2023,BS,Short-term borrowings,4230000000.0
2023,BS,미지급금,5291686627.0
2023,BS,미지급비용,432116231.0
2023,BS,예수금,33029470.0
2023,BS,선수금,2282368.0
2023,BS,Total liabilities,336430273.0
2023,BS,Current liabilities,19363813523.0
2023,BS,장기차입금,19081084713.0
2023,BS,Total liabilities,282528810.0
2023,BS,임대보증금,200000.0
2023,BS,Total liabilities,32256253130.0
2023,BS,보통주자본금,300000000.0
2023,BS,III. 이익잉여금,7422971566.0
2023,BS,미처분이익잉여금,7422971566.0
2023,BS,Total equity,7722971566.0
2023,BS,Total liabilities,39979224696.0
2024,CF,Cash flows from operating activities,1238326617.0
2024,CF,당기순이익,1848734052.0
2024,CF,현금의 유출이 없는 비용등의 가산,54314754.0
2024,CF,대손상각비,282891534.0
2024,CF,감가상각비,765085072.0
2024,CF,무형자산상각비,244574927.0
2024,CF,Inventories,501867765.0
2024,CF,유형자산처분손실,-21489501.0
2024,CF,현금의 유입이 없는 수익등의 차감,21489501.0
2024,CF,외화환산이익,-17033595100.0
2024,CF,Total liabilities,-2106590887.0
2024,CF,매출채권의 감소(증가),505605301.0
2024,CF,미수금의 감소(증가),-1957261106.0
2024,CF,선급금의 감소(증가),-331413492.0
2024,CF,선급비용의 감소(증가),-400309320.0
2024,CF,부가세대급금의 감소(증가),-7745322805.0
2024,CF,Inventories,-1640220196.0
2024,CF,매입채무의 증가(감소),-3153823422.0
2024,CF,미지급금의 증가(감소),11760700.0
2024,CF,예수금의 증가(감소),5946432.0
2024,CF,선수금의 증가(감소),196386883.0
2024,CF,미지급비용의 증가(감소),-297742808.0
2024,CF,Total liabilities,-120610380.0
2024,CF,퇴직금의 지급,-2492520742.0
2024,CF,II. 투자활동으로 인한 현금흐름,20000000.0
2024,CF,투자활동으로 인한 현금유입액,20000000.0
2024,CF,국고보조금의 수령,-2512520742.0
2024,CF,단기금융상품의 증가,140000000.0
2024,CF,토지의 증가,1066350000.0
2024,CF,건물의 취득,10600000.0
2024,CF,기계장치의 취득,48586882.0
2024,CF,차량운반구의 취득,1320000.0
2024,CF,비품의 취득,191250000.0
2024,CF,금형의 취득,488000000.0
2024,CF,시설장치의 취득,66000000.0
2024,CF,특허권의 취득,387734000.0
2024,CF,상표권의 취득,69485500.0
2024,CF,소프트웨어의 취득,38654360.0
2024,CF,임차보증금의 증가,4540000.0
2024,CF,기타보증금의 증가,15323977916.0
2024,CF,III. 재무활동으로 인한 현금흐름,20283793830.0
2024,CF,재무활동으로 인한 현금유입액,11483593830.0
2024,CF,Short-term borrowings,8800000000.0
2024,CF,장기차입금의 차입,200000.0
2024,CF,임대보증금의 증가,-4959815914.0
2024,CF,재무활동으로 인한 현금유출액,283593830.0
2024,CF,Short-term borrowings,4675922084.0
2024,CF,장기차입금의 감소,300000.0
2024,CF,임대보증금의 감소,-1136566758.0
2024,CF,IV. 현금의 증가(감소)(I+II+III),4967468847.0
2024,CF,V. 기초의 현금,3830902089.0
2023,CF,Cash flows from operating activities,5570378347.0
2023,CF,당기순이익,1242953360.0
2023,CF,현금의 유출이 없는 비용등의 가산,22199005.0
2023,CF,대손상각비,72707154.0
2023,CF,감가상각비,646976896.0
2023,CF,Inventories,341820240.0
2023,CF,퇴직급여,159250065.0
2023,CF,외화환산이익,-758761757.0
2023,CF,Total liabilities,-2219900367.0
2023,CF,매출채권의 감소(증가),-505437382.0
2023,CF,미수금의 감소(증가),-383295365.0
2023,CF,선급금의 감소(증가),277126474.0
2023,CF,선급비용의 감소(증가),-6798167.0
2023,CF,부가세대급금의 감소(증가),-1172866955.0
2023,CF,Inventories,2089909369.0
2023,CF,매입채무의 증가(감소),943918285.0
2023,CF,미지급금의 증가(감소),16487540.0
2023,CF,예수금의 증가(감소),-42171492.0
2023,CF,선수금의 증가(감소),160215583.0
2023,CF,미지급비용의 증가(감소),143342150.0
2023,CF,Total liabilities,-59291430.0
2023,CF,퇴직금의 지급,-24752037365.0
2023,CF,II. 투자활동으로 인한 현금흐름,179802045.0
2023,CF,단기금융상품의 감소,454545.0
2023,CF,차량운반구의 처분,1000.0
2023,CF,비품의 처분,179346500.0
2023,CF,국고보조금의 수령,-24931839410.0
2023,CF,투자활동으로 인한 현금유출액,20000000.0
2023,CF,장기금융상품의 증가,14827970144.0
2023,CF,토지의 증가,8740282174.0
2023,CF,기계장치의 취득,31389092.0
2023,CF,금형의 취득,213620000.0
2023,CF,특허권의 취득,500000000.0
2023,CF,개발비의 증가,108000000.0
2023,CF,소프트웨어의 취득,472000000.0
2023,CF,임차보증금의 증가,18578000.0
2023,CF,기타보증금의 증가,22129425803.0
2023,CF,III. 재무활동으로 인한 현금흐름,23000200000.0
2023,CF,재무활동으로 인한 현금유입액,4000000000.0
2023,CF,Short-term borrowings,19000000000.0
2023,CF,장기차입금의 차입,200000.0
2023,CF,임대보증금의 증가,-870774197.0
2023,CF,재무활동으로 인한 현금유출액,700000000.0
2023,CF,Short-term borrowings,170774197.0
2023,CF,임대보증금의 감소,3431958388.0
2023,CF,IV. 현금의 증가(감소)(I+II+III),1535510459.0
2023,CF,V. 기초의 현금,4967468847.0
